FirstName;LastName;Email;Tags;DateHired;Picture
James T.;Kirk;jtkirk@mars.mmc.io;"#historic;#captain";12/07/2023;files/persons/jtkirk.png
John;König;jkonig@mars.mmc.io;"#moon;#1999";04/12/2033;files/persons/jkonig.png
Neil;Armstrong;narmstrong@mars.mmc.io;"#nasa;#first;#giant";05/12/2033;files/persons/narmstrong.png
Jean-Luc;Picard;jlpicard@mars.mmc.io;"#enterprise;#french";06/12/2005;files/persons/jlpicard.png
Darth;Vader;dvader@mars.mmc.io;#evil;07/01/2008;files/persons/dvader.png
Han;Solo;hsolo@mars.mmc.io;"#hero;#general";04/12/2033;files/persons/hsolo.png
Jim;Lovell;jlovell@mars.mmc.io;"#houston;#problem";05/12/2033;files/persons/jlovell.png
William;Adama;wadama@mars.mmc.io;#lost;06/12/2005;files/persons/wadama.png
Worker;One;wone@mars.mmc.io;#plumber;07/01/2008;
Worker;Two;wtwo@mars.mmc.io;#worker;12/12/2033;
Worker;Three;wthree@mars.mmc.io;"#worker;#efficient";13/12/2033;
